SN,en,new,,,,,,,,,,,,,,,,,,,,,,,
,welcome to Ideax,Ideax ए लसकुस​,,,,,,,,,,,,,,,,,,,,,,,
,this is a test,थो test ख​,,,,,,,,,,,,,,,,,,,,,,,
,wa are tongue techies,जिपि tongue techies ख​,,,,,,,,,,,,,,,,,,,,,,,
,this is just a demo,थो demo जक ख​,,,,,,,,,,,,,,,,,,,,,,,
,I am from Urlabari,जि उर्लाबारी च्वंम्ह,,,,,,,,,,,,,,,,,,,,,,,
,I am from Damak,जि दमक च्वंम्ह,,,,,,,,,,,,,,,,,,,,,,,
,I am from Birtamod,जि बिर्तामोड च्वंम्ह,,,,,,,,,,,,,,,,,,,,,,,
1,My name is Nishant,जिगू नां निशान्त खः।,,,,,,,,,,,,,,,,,,,,,,,
2,My name is Drishya,जिगू नां दृश्य खः।,,,,,,,,,,,,,,,,,,,,,,,
3,"Hello, my name is Sushan",ज्वजलपा जिगू नां सुशन खः।,,,,,,,,,,,,,,,,,,,,,,,
4,"Hi, my name is Milan",ज्वजलपा जिगू नां मिलन खः।,,,,,,,,,,,,,,,,,,,,,,,
7,I was thinking about you. I worry for you a lot,जि छँगु हे बारे मतियाना चोनौउ । छँगु चिन्ता लगेजुया चोव्नी जित ।,,,,,,,,,,,,,,,,,,,,,,,
8,I heard that she has a daughter the same age as yours.,उयिउ छ-पाए-ह्री-म म्ह्याए दु धाउ न्यनौउ ।,,,,,,,,,,,,,,,,,,,,,,,
9,"If you want to eat something yummy, you can come to my restaurant",साउ साउ ने मासे व सा जिगु खाजा घरे(छें) व सा जिउ ।,,,,,,,,,,,,,,,,,,,,,,,
10,Don't drink too much when you go to a party,ग्वार-त्वीक ऐला त्वोने मते न्हि भ्वे वोँ साँ ।,,,,,,,,,,,,,,,,,,,,,,,
11,Money,धेबा,,,,,,,,,,,,,,,,,,,,,,,
12,Wife,कला,,,,,,,,,,,,,,,,,,,,,,,
13,Husband,भा-त,,,,,,,,,,,,,,,,,,,,,,,
14,Girl,मिसा,,,,,,,,,,,,,,,,,,,,,,,
15,Boy,मिजँ,,,,,,,,,,,,,,,,,,,,,,,
16,Tea,च्या,,,,,,,,,,,,,,,,,,,,,,,
17,I love you more,जिँ छँन्त यक्को मतिना याना,,,,,,,,,,,,,,,,,,,,,,,
18,Try to understand,थुईकि,,,,,,,,,,,,,,,,,,,,,,,
19,It's cold,चिकुल,,,,,,,,,,,,,,,,,,,,,,,
20,How are you?,छु दु खबर?,,,,,,,,,,,,,,,,,,,,,,,
21,Nothing,छु न मजु ।,,,,,,,,,,,,,,,,,,,,,,,
22,What are you doing?,छु याना चोव्ना?,,,,,,,,,,,,,,,,,,,,,,,
23,Did you see my son dear?,ए बाबु जिमी काएयात मखनाला ?,,,,,,,,,,,,,,,,,,,,,,,
24,Ouachita Parish Public Library in downtown West Monroe,वेस्त मन्रोय् अवस्थित वाशिता प्यरिश पब्लिक लाइब्ररी,,,,,,,,,,,,,,,,,,,,,,,
25,Prehistory,प्रागितिहास,,,,,,,,,,,,,,,,,,,,,,,
26,The Ouachita River separates Monroe from West Monroe near the parish courthouse.,वाशिता खुसि मन्रो व वेस्त मन्रोया दसुइ प्यारिस न्यायालय नापं बाहा वनि।,,,,,,,,,,,,,,,,,,,,,,,
27,Adjacent parishes,नापंया प्यारिश,,,,,,,,,,,,,,,,,,,,,,,
28,"You have to carry it to the hospital, not in a taxi","ट्यक्सिई मखु, बुया अस्पताल यन्के मा ।",,,,,,,,,,,,,,,,,,,,,,,
29,Do not stay at home even for 1 minute,१ मिनेट न छें चोव्निउ मखु ।,,,,,,,,,,,,,,,,,,,,,,,
30,Are we the only ones at home?,छें झि ज-क ख ला ?,,,,,,,,,,,,,,,,,,,,,,,
31,Shouldn't you be speaking the truth right now?,आ खौउ खँ ल्हासाँ मजिउ छित ।,,,,,,,,,,,,,,,,,,,,,,,
32,Keep this money hidden in the drawer,थ्वो धेबा दराजजे सुचुका ति ।,,,,,,,,,,,,,,,,,,,,,,,
33,Why tease a stranger?,म्हम्सिउपिं मनु ते त छाए गिजेयानौउ?,,,,,,,,,,,,,,,,,,,,,,,
34,can't you call someone you know?,म्ह सिउपिंन्त सते मजिउ ला ?,,,,,,,,,,,,,,,,,,,,,,,
35,Dry the cloth on the roof,काप = कपडा (लुगा=लँ) कसिई यंका पा ?,,,,,,,,,,,,,,,,,,,,,,,
36,Don't pretend to gossip with me.,जि नाप खँ ल्हाउ त्वो देकेमते ।,,,,,,,,,,,,,,,,,,,,,,,
37,Does the cat not eat the meat hanging from the ceiling?,ला कसिई खाया भौउचाँ नैमखुला ?,,,,,,,,,,,,,,,,,,,,,,,
